filename,width,height,class,xmin,ymin,xmax,ymax
0002563_balance-ball-chair-blue-ball.jpeg,750,750,blue ball,210,190,600,522
003sw9dft.jpg,628,355,red ball,189,65,415,295
00923dews.jpg,259,194,red ball,120,55,213,150
01e81286-29d5.png,900,400,blue ball,489,157,605,272
1.jpg,275,183,red ball,83,102,134,154
10-3174_inuse.jpg,400,415,blue ball,51,138,301,385
10.jpeg,780,390,red ball,180,311,245,377
10.jpeg,780,390,red ball,313,203,343,236
10.jpeg,780,390,red ball,351,176,371,198
10.jpeg,780,390,red ball,366,150,382,165
10.jpeg,780,390,red ball,386,134,400,150
10.jpeg,780,390,red ball,382,141,394,154
11.jpeg,1600,1214,red ball,979,279,1160,451
11.jpeg,1600,1214,red ball,519,383,714,572
12.jpg,800,759,red ball,458,25,542,107
12.jpg,800,759,red ball,712,588,785,660
1297459281550_ORIGINAL.jpg,810,470,red ball,131,397,152,419
1297739597252_ORIGINAL.jpg,650,474,red ball,337,222,444,325
13.jpg,236,157,red ball,203,55,219,71
13.jpg,236,157,red ball,159,67,180,88
13.jpg,236,157,red ball,114,79,139,103
13.jpg,236,157,red ball,32,97,62,127
14.jpg,850,478,red ball,446,77,793,418
1445415716-8089_0.jpg,600,600,blue ball,170,95,579,506
1454011283257.jpeg,631,473,blue ball,281,202,372,289
149694325006613123.jpg,812,457,red ball,318,330,560,457
15.jpg,376,319,red ball,60,45,311,294
16.jpg,355,355,red ball,8,5,346,351
17.jpg,1050,1050,red ball,16,19,1036,1027
18.jpg,620,605,red ball,408,53,480,122
19.jpg,355,355,red ball,101,197,247,342
2.jpg,500,668,red ball,78,162,431,522
20.jpg,1200,800,red ball,165,210,650,698
21.jpeg,1000,562,red ball,352,79,703,423
22.jpg,350,213,red ball,163,106,261,204
22.jpg,350,213,blue ball,168,35,288,147
23.jpg,465,262,red ball,174,60,364,236
24.jpg,460,455,red ball,46,38,420,408
25.jpg,1080,1080,red ball,50,314,777,927
26.jpg,1300,866,red ball,320,325,774,655
26.jpg,1300,866,blue ball,769,357,1113,573
266031_[1].jpg,400,400,blue ball,150,86,338,272
27.jpg,640,960,red ball,252,605,354,708
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,blue ball,1,236,197,359
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,blue ball,360,96,375,121
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,red ball,339,99,359,131
2lm6n8o-620x330.jpg,620,330,red ball,328,78,471,263
2lm6n8o-620x330.jpg,620,330,blue ball,94,46,190,176
3.JPG,300,220,red ball,16,34,108,120
3.JPG,300,220,red ball,192,35,283,120
3.JPG,300,220,red ball,110,108,200,198
332198927_99_a.png,520,520,blue ball,25,27,496,493
35531d4dcf3383fce336f8910bc20081--medicine-ball-workouts-crossfit-workouts.jpg,480,480,blue ball,99,117,354,378
397.1511295885.jpg,437,655,blue ball,202,24,270,92
397.1511295885.jpg,437,655,blue ball,196,136,272,211
397.1511295885.jpg,437,655,blue ball,181,240,273,332
397.1511295885.jpg,437,655,blue ball,165,344,272,450
397.1511295885.jpg,437,655,blue ball,146,449,276,580
4.jpg,1280,720,red ball,474,406,855,720
41hk1Ld6xqL._SY355_.jpg,355,355,blue ball,24,70,168,213
41hk1Ld6xqL._SY355_.jpg,355,355,blue ball,124,170,275,322
41hk1Ld6xqL._SY355_.jpg,355,355,blue ball,168,46,310,186
42414889-1-sz.jpg,569,569,red ball,319,323,521,521
42414889-1-sz.jpg,569,569,blue ball,197,153,372,329
480.png,500,268,red ball,234,90,368,227
480.png,500,268,red ball,30,107,144,223
480.png,500,268,blue ball,325,146,444,267
480.png,500,268,blue ball,382,95,493,207
480.png,500,268,blue ball,91,44,222,162
48977.jpg,1500,1120,red ball,12,145,1080,994
498ca460dc2f6_large.jpg,462,450,blue ball,36,25,443,438
49d5b3b77bbb558fba51c6d938b6b398--the-ha-the-ojays.jpg,295,295,blue ball,32,22,270,260
5.jpg,275,183,red ball,26,35,149,153
5.jpg,275,183,red ball,151,47,255,148
51M8PY64GaL.jpg,500,500,blue ball,354,45,483,168
51M8PY64GaL.jpg,500,500,red ball,36,72,312,331
53595_br-070708-0003138-1.jpg,350,213,red ball,164,108,260,203
53595_br-070708-0003138-1.jpg,350,213,blue ball,169,35,288,145
537457149.jpg,673,448,red ball,586,160,644,219
537457149.jpg,673,448,red ball,413,113,463,167
554478517_377.jpg,698,595,red ball,27,63,271,302
57_d98a6f00-24af-4188-a4c6-a2aa23e862dd_large.jpg,478,480,blue ball,22,36,446,448
5875822227_9d83807013_b.jpg,1024,683,red ball,582,114,935,421
6.-Medicine-Ball-Russian-Twist.jpg,700,450,blue ball,115,179,226,290
6.jpg,260,194,red ball,49,1,156,92
60nw-296937743.jpg,390,280,blue ball,44,147,93,197
60nw-296937743.jpg,390,280,blue ball,138,113,167,153
7.jpg,275,183,red ball,160,55,199,92
71Gml4FJWrL._SX679_.jpg,679,679,blue ball,35,188,331,496
71Gml4FJWrL._SX679_.jpg,679,679,blue ball,342,186,638,496
71lCAlaXWVL._SY355_.jpg,355,355,red ball,188,102,340,255
71lCAlaXWVL._SY355_.jpg,355,355,blue ball,17,100,175,259
7395468401254_o.jpg,632,355,blue ball,133,170,246,286
7395468401254_o.jpg,632,355,blue ball,240,126,451,308
78_0_2.jpg,850,530,blue ball,4,1,359,353
7ca135cc2.png,651,400,blue ball,261,199,378,312
8.jpg,286,176,red ball,187,43,223,78
8.jpg,286,176,red ball,106,49,169,108
8.jpg,286,176,red ball,15,55,96,135
81+7zS2gGfL._SX425_.jpg,425,425,blue ball,71,61,349,326
8djen3dsuw7.jpg,300,168,blue ball,192,39,236,81
8djn3d-s.jpg,250,202,blue ball,91,80,195,165
9.jpg,1873,2048,red ball,67,65,1798,1800
91yV0zAIrOL._SY606.jpg,433,606,blue ball,162,52,282,165
91yV0zAIrOL._SY606.jpg,433,606,blue ball,182,274,231,337
A-general-view-of-a-Kookaburra-turf-four-piece-cricket-ball-is-seen-before-play-on-day-one-of-the-Sheffield-Shield-final-match-between-the-Tasmanian-Tigers-and-the-New-South-Wales-Blues.jpg,628,355,red ball,189,68,413,292
about_01_800x520.jpg,800,520,red ball,312,7,799,520
AdobeStock_131414139_sm.jpg,1536,842,red ball,497,137,1058,691
AR-303189926.jpg&maxh=400&maxw=667.jpg,600,400,red ball,52,254,78,280
AR-303189926.jpg&maxh=400&maxw=667.jpg,600,400,red ball,162,103,200,141
AR-303189926.jpg&maxh=400&maxw=667.jpg,600,400,blue ball,519,237,539,261
art.dodgeball.courtesy.jpg.jpg,292,219,red ball,18,20,53,54
art.dodgeball.courtesy.jpg.jpg,292,219,red ball,179,89,211,123
art.dodgeball.courtesy.jpg.jpg,292,219,red ball,173,63,204,95
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,1,209,12,231
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,24,213,46,236
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,409,326,461,375
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,260,211,282,231
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,253,77,273,93
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,35,110,53,125
article-0-11A32570000005DC-235_634x377.jpg,634,377,red ball,19,105,32,119
Asi23987417_300x.jpg.png,300,300,blue ball,6,106,146,245
asw3der4.jpg,225,225,blue ball,29,31,191,189
B1038212229.jpg,360,360,red ball,75,181,204,308
banner_boysoccerball.jpg,900,265,red ball,480,74,694,265
basel_coloured_balls_1.jpg,700,500,red ball,262,113,426,302
basel_coloured_balls_1.jpg,700,500,blue ball,59,116,230,297
ben-stiller-dodgeball-1024x571.jpg,1024,571,red ball,46,207,346,505
ben-stiller-dodgeball-1024x571.jpg,1024,571,red ball,724,224,1024,503
BILAL-HUSSAIN-Tape-Ball.jpg,682,430,red ball,249,48,591,383
blue-golf-ball-course-hole-miniature-edge-greens-110089711.jpg,800,533,blue ball,359,175,514,328
blue-tennis-ball.jpg,561,374,blue ball,154,88,411,340
bowling-set-rubbabu_1024x1024@2x.jpg,1000,1000,red ball,69,474,358,772
BRN-BALL-2_9cfe42f3-35de-4001-939e-06478cf92740_1024x1024@2x.jpg,500,500,blue ball,101,88,418,407
BSTMB_EX12_1500.jpg,600,600,blue ball,174,377,269,476
BSTMB_group_hero_1500px.png,600,600,red ball,20,367,177,556
BSTMB_group_hero_1500px.png,600,600,blue ball,387,256,580,414
BSTMB_group_hero_1500px.png,600,600,blue ball,336,65,580,277
cache_2159372.jpg,900,675,red ball,231,29,652,453
calcite-bleue-sphere.jpg,800,800,blue ball,114,106,702,697
Callaway-Superhot-Bold-balls.jpg,800,600,red ball,224,56,571,397
canon-dodgeball-grass-8857621-o.jpg,500,374,red ball,226,52,442,264
ce3ad32affac6311a3f4fe2e5d484ac3.jpg,480,360,blue ball,106,106,233,229
ce3ad32affac6311a3f4fe2e5d484ac3.jpg,480,360,blue ball,258,108,387,234
coach_mike_moffatt.jpg,639,431,blue ball,192,49,251,110
colored-golf-balls.jpg,784,196,red ball,218,22,373,173
colored-golf-balls.jpg,784,196,blue ball,419,21,571,174
coloured-golf-balls.jpg,295,160,red ball,4,71,67,132
coloured-golf-balls.jpg,295,160,red ball,260,89,295,148
coloured-golf-balls.jpg,295,160,blue ball,70,80,132,144
coloured-golf-balls.jpg,295,160,blue ball,229,73,272,114
cq5dam.thumbnail.360.360.jpg,360,360,red ball,287,9,342,66
cq5dam.thumbnail.360.360.jpg,360,360,red ball,257,153,293,190
cq5dam.thumbnail.360.361.jpg,360,360,red ball,151,229,239,320
cq5dam.thumbnail.768.768.jpg,768,384,red ball,223,290,322,383
cricket-home-may17_29363220465.jpg,375,375,red ball,156,80,375,308
cricket_ball.jpg,2500,1674,red ball,562,577,1545,1599
CS-LB2-BO_1024x1024.jpg,1024,1024,red ball,503,294,964,750
CS-LB2-BO_1024x1024.jpg,1024,1024,blue ball,52,283,499,747
d2f548385845f0e0b90104f9ddb4c2768ae3aa21.jpg,640,360,red ball,211,147,285,221
Da6at-7X4AY3VuS.jpg,589,392,blue ball,261,300,312,351
Da6at-7X4AY3VuS.jpg,589,392,blue ball,270,228,293,251
Da6at-7X4AY3VuS.jpg,589,392,blue ball,277,200,291,214
dball1.jpg,583,437,blue ball,181,60,429,307
dds-minordodgeball-aug23.jpg,750,498,red ball,255,207,332,286
Depositphotos_49310431_original-687x1030.jpg,687,1030,red ball,101,376,576,860
dkdi4id-3d.jpg,225,225,blue ball,26,27,199,198
Dodgeball Game.jpg,538,302,red ball,424,165,434,173
Dodgeball Game.jpg,538,302,red ball,123,126,141,145
Dodgeball Game.jpg,538,302,red ball,307,171,330,192
dodgeball-girl.jpg,450,450,blue ball,34,207,155,326
Dodgeball-Hero-6.jpg,1280,482,red ball,458,197,841,479
dodgeball-red.png,900,900,red ball,62,475,605,898
dodgeball-square.jpg,609,460,red ball,152,230,463,457
dodgeball-x-5.jpg,775,481,blue ball,518,1,584,71
dodgeball.jpg,500,231,red ball,307,54,330,77
dodgeball.jpg,500,231,blue ball,108,3,134,28
Dodgeball1.jpg,500,333,red ball,349,114,400,163
dodgeball201513665-M.jpg,299,450,red ball,226,220,276,268
dodgeball201513665-M.jpg,299,450,red ball,9,151,39,181
dodgeball6.jpg,750,535,red ball,369,288,396,315
dodgeball6.jpg,750,535,red ball,340,340,384,385
dodgeball6.jpg,750,535,blue ball,384,316,400,332
dodgeball6.jpg,750,535,blue ball,375,330,394,349
dodgeballs.jpg,615,461,red ball,25,125,274,364
dodgeballs.jpg,615,461,blue ball,343,118,596,361
dogtoy_blueball.jpg,300,300,blue ball,70,73,237,238
dryer-balls.jpg,622,350,blue ball,434,157,599,332
dryer-balls.jpg,622,350,blue ball,271,134,437,303
DSC04775_1c0.jpg,480,352,blue ball,183,174,317,303
DSC_5877-edit-900x600.jpg,900,600,blue ball,162,1,297,128
e7f1f39cd7e35b27bc.jpg,640,360,blue ball,298,147,388,235
ed3f53d09121e58f85f216e61cd94266--miniature-golf-arcade-games.jpg,400,400,blue ball,61,67,328,333
ejr24.png,600,600,red ball,26,23,579,576
exercise-blue-colour-ball-fitness-260nw-547578211.jpg,390,280,blue ball,176,16,373,209
exercise-equipment-fitness-gym-ball-25cm.jpg,260,260,blue ball,134,183,216,251
exercise_ball_balance_cushion.jpg,599,449,blue ball,140,51,440,356
f83a2e4a-b2f9-11e7-bd84-aff05f4f97d6-780x599.jpg,780,599,red ball,457,19,553,115
f83a2e4a-b2f9-11e7-bd84-aff05f4f97d6-780x599.jpg,780,599,red ball,65,196,159,286
FCMK7RQILV8D3BE.LARGE.jpg,296,273,red ball,28,21,265,261
featured-clean-balls.jpg,682,419,blue ball,32,67,336,364
featured-clean-balls.jpg,682,419,blue ball,342,60,670,370
fetchballs_big.jpg,638,643,red ball,23,325,335,633
fh3nnd8e.jpg,300,168,blue ball,156,69,204,112
