filename,width,height,class,xmin,ymin,xmax,ymax
item_XL_9624700_11058459.jpg,600,591,blue ball,4,318,266,578
item_XL_9624700_11058459.jpg,600,591,blue ball,277,23,563,303
23.jpg,465,262,red ball,174,60,364,236
27.jpg,640,960,red ball,252,605,354,708
r960-cc39f67f436b5f2c1d4f01c826c7a324.jpg,542,960,blue ball,45,136,229,313
red-dodge-ball-line-sportshall-dodgeball-game-hit-play-gymnasium-gym-court-throw-hit-catch-start-big-space-hall-physical-85130942.jpg,800,450,red ball,28,60,411,421
20.jpg,1200,800,red ball,165,210,650,698
dodgeball-square.jpg,609,460,red ball,152,230,463,457
n-DODGEBALL-628x314.jpg,628,314,red ball,46,14,100,63
BILAL-HUSSAIN-Tape-Ball.jpg,682,430,red ball,249,48,591,383
Zeus-963.jpg,530,530,blue ball,182,299,323,430
home_fitness_equipment_blue.jpg,611,406,blue ball,176,1,490,279
home_fitness_equipment_blue.jpg,611,406,blue ball,92,174,249,326
index2.jpg,225,225,blue ball,31,27,194,191
IMG_0133.jpg,508,526,blue ball,115,241,362,492
IMG_0133.jpg,508,526,blue ball,125,62,276,215
IMG_0133.jpg,508,526,blue ball,236,1,338,85
Hop-Ball-Bouncing-Toy-55cm-gym-ball-with-handle-cavel-children-play-toy-yoga-ball.jpg_640x640.jpg,640,640,red ball,261,120,522,356
Hop-Ball-Bouncing-Toy-55cm-gym-ball-with-handle-cavel-children-play-toy-yoga-ball.jpg_640x640.jpg,640,640,blue ball,143,180,291,347
o9qa912sd.jpg,180,180,red ball,95,56,151,113
3.JPG,300,220,red ball,16,34,108,120
3.JPG,300,220,red ball,192,35,283,120
3.JPG,300,220,red ball,110,108,200,198
cq5dam.thumbnail.768.768.jpg,768,384,red ball,223,290,322,383
banner_boysoccerball.jpg,900,265,red ball,480,74,694,265
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,blue ball,1,236,197,359
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,blue ball,360,96,375,121
2f37b0fabfb06a569ce60fed3bab2a82099e4c71.jpg,640,360,red ball,339,99,359,131
G_71906_NOdodgeball-2.jpg,426,320,blue ball,111,11,410,313
7395468401254_o.jpg,632,355,blue ball,133,170,246,286
7395468401254_o.jpg,632,355,blue ball,240,126,451,308
dodgeball-girl.jpg,450,450,blue ball,34,207,155,326
Giant-Christmas-Ornaments-2-2.jpg,650,479,red ball,412,126,593,304
Giant-Christmas-Ornaments-2-2.jpg,650,479,red ball,223,153,402,329
Giant-Christmas-Ornaments-2-2.jpg,650,479,red ball,40,115,225,292
8djen3dsuw7.jpg,300,168,blue ball,192,39,236,81
top-glides-precut-walker-tennis-ball-glides-dark-blue-6-pairs_23457774.jpeg,355,355,blue ball,30,98,170,239
top-glides-precut-walker-tennis-ball-glides-dark-blue-6-pairs_23457774.jpeg,355,355,blue ball,186,109,330,252
fetchballs_big.jpg,638,643,red ball,23,325,335,633
jdn377dmo000las.jpg,225,225,blue ball,51,72,173,191
Lower_Body_Set_48257efc-5286-47cc-941f-608e8353cf73.JPG,2048,1536,red ball,302,528,927,1160
71Gml4FJWrL._SX679_.jpg,679,679,blue ball,35,188,331,496
71Gml4FJWrL._SX679_.jpg,679,679,blue ball,342,186,638,496
149694325006613123.jpg,812,457,red ball,318,330,560,457
dryer-balls.jpg,622,350,blue ball,434,157,599,332
dryer-balls.jpg,622,350,blue ball,271,134,437,303
19.jpg,355,355,red ball,101,197,247,342
2.jpg,500,668,red ball,78,162,431,522
stock-photo-red-cricket-ball-on-the-grass-with-bat-307492799.jpg,450,320,red ball,112,58,285,229
jfjenjdiahe20.jpg,259,194,blue ball,24,75,122,174
red-leather-cricket-ball-and-bails-on-grass-H9G781.jpg,1300,951,red ball,483,295,957,749
coach_mike_moffatt.jpg,639,431,blue ball,192,49,251,110
BSTMB_group_hero_1500px.png,600,600,red ball,20,367,177,556
BSTMB_group_hero_1500px.png,600,600,blue ball,387,256,580,414
BSTMB_group_hero_1500px.png,600,600,blue ball,336,65,580,277
maxresdefault.jpg,822,462,blue ball,174,2,707,462
1454011283257.jpeg,631,473,blue ball,281,202,372,289
hqdefault1.jpg,480,360,red ball,46,78,164,193
hqdefault1.jpg,480,360,red ball,382,107,480,228
stability-balls-lowres-00734.jpg,630,420,red ball,115,14,495,389
tg-20022017-dodgeball-mm_large.jpg,800,535,red ball,604,79,668,142
tg-20022017-dodgeball-mm_large.jpg,800,535,red ball,399,11,453,62
tg-20022017-dodgeball-mm_large.jpg,800,535,red ball,271,1,333,52
